id;proper;con;mag;dist;spect;ci;lum;x;y;z
84147;Guniibuu;Oph;4.33;5.9333;K2:III:;0.855;0.5680675741067719;-1.027046;-5.204798;-2.656955
52370;Macondo;Ant;8.3;27.8552;K3V;0.945;0.3235936569296281;-21.954758;7.522298;-15.405733
65338;;Cen;8.98;100000.0;B9III;0.125;2228435.149270303;-42863.166895;-16917.867005;-88749.843379
6838;;And;8.39;100000.0;M0;1.617;3837072.454922792;68381.21095;27668.274806;67516.491011
67088;Alkaid;UMa;1.85;31.8674;B3V SB;-0.099;160.99040762157054;-18.529548;-9.394541;24.164506
47297;Ukdah;Hya;3.9;80.7103;K3IIIvar;1.313;156.3147642640954;-66.071937;46.325951;-1.609728
19799;Keid;Eri;4.43;4.9845;K1V;0.82;0.3657631930094519;2.179524;4.432894;-0.66374
114848;Danfeng;Tuc;11.03;26.3713;M2;1.45;0.0234638892446413;12.960983;-2.278056;-22.853202
17406;Atik;Per;3.84;343.6426;B1III;0.022;2995.021883751126;162.113525;241.065988;183.56674
95992;Campbell's Hydrogen Star;Cyg;10.0;100000.0;WC...;-0.013;870963.5899560815;34611.284098;-78889.844899;50778.453408
57459;Denebola;Leo;2.14;10.9999;A3Vvar;0.09;14.682499678319866;-10.633926;0.508011;2.767546
109657;Ancha;Aqr;4.17;57.4713;G8III-IV;0.979;61.773185859152;51.269356;-24.775209;-7.783126
73486;Brachium;Lib;3.25;88.4173;M3/M4III;1.674;341.3500729493114;-55.51919;-57.527085;-37.760649
3472;Cocibolca;Scl;7.78;32.3729;G5V;0.664;0.7053424142580965;28.425119;5.582477;-14.452867
106481;Sāmaya;PsA;8.56;107.7586;F7V;0.546;3.808903764981351;74.642254;-53.172993;-56.684058
34354;Wezen;CMa;1.83;492.6108;F8Ia;0.671;39192.2322454977;-129.733458;421.761488;-218.979855
92133;Sheliak;Lyr;3.52;294.9853;A8:V comp SB;0.003;2962.1019360527675;53.40884;-240.514817;162.223134
62257;Gar;Vir;11.39;8.3703;M4;1.563;0.0016966802323464;-8.06968;-1.713193;1.417736
67711;Muphrid;Boo;2.68;11.396;G0IV;0.58;9.585173976856456;-9.487671;-5.188142;3.596709
49528;Regulus;Leo;1.36;24.3132;B7V;-0.087;147.09570767969765;-21.018857;11.132218;5.041397
38126;;Car;9.0;100000.0;B9III/IV;0.014;2187761.623949552;-24065.14492;46241.092415;-85338.327686
115258;Alkarab;Peg;4.42;52.2466;F8IV;0.617;40.55085354483837;47.401961;-7.215479;20.75302
